label	dockervmm
host_time	2026-08-18T13:20:16+10:00
git_head	7a1a3abfc
git_dirty_before	0
dd_version	Docker_Desktop_4.87.0_(236836)
dd_backend_settings	wslEngineEnabled=true;useLibkrun=true;memoryMiB=16384;cpus=12;swapMiB=1024
cold_image_build_or_noop	5.596
cold_work_sync_and_build	84.974
warmup_narrow	8.588
container_start_r1	0.384
container_start_r2	0.379
container_start_r3	0.382
container_start_r4	0.382
container_start_r5	0.389
container_start_median	0.382
narrow_r1	8.412
narrow_r2	8.470
narrow_r3	8.199
narrow_median	8.412
full_r1	171.543
full_r2	179.920
full_r3	175.177
full_median	175.177
direct_full_r1	239.341
direct_full_median	239.341
git_dirty_after	0
git_dirty_restored	skipped_tree_was_dirty_at_start
micro_env_nproc	12
micro_env_mem_total_mib	16051
micro_env_kernel	7.0.12-linuxkit
micro_env_fstype_src	virtiofs
micro_env_fstype_work	ext4
micro_env_statfs_src	fuseblk
micro_workload_png_count	300
micro_workload_png_bytes	75310776
micro_mount_walk	0.012
micro_mount_stat_300	0.003
micro_mount_read_300	0.037
micro_mount_write_500	0.167
micro_mount_rsync_in	0.079
micro_local_read_300	0.023
micro_local_write_500	0.038
micro_cpu_sha256_400mb	0.322
cold_work_sync_and_build_warmnuget	25.655
image_build_switching_cost	141.1
note_cold_work_sync_and_build	ORIGINAL_85.0s_INCLUDED_ONE_OFF_2.1GB_NUGET_RESTORE_ON_FRESH_VM
note_git_head	HEAD_MOVED_1b611a10d_TO_7a1a3abfc_VERSION_STRING_ONLY_3679_TESTS_PASSED_BOTH
