label	wsl2
host_time	2026-08-18T11:42:31+10:00
git_head	1b611a10d
git_dirty_before	1
dd_version	Docker_Desktop_4.87.0_(236836)
dd_backend_settings	wslEngineEnabled=true;useLibkrun=false;memoryMiB=2048;cpus=12;swapMiB=1024
cold_image_build_or_noop	27.150
cold_work_sync_and_build	23.771
warmup_narrow	12.701
container_start_r1	0.543
container_start_r2	0.496
container_start_r3	0.493
container_start_r4	0.520
container_start_r5	0.537
container_start_median	0.520
micro_env_nproc	12
micro_env_mem_total_mib	15829
micro_env_kernel	6.18.33.2-microsoft-standard-WSL2
micro_env_fstype_src	v9fs
micro_env_fstype_work	ext2/ext3
micro_workload_png_count	300
micro_workload_png_bytes	75310776
micro_mount_walk	1.477
micro_mount_stat_300	0.400
micro_mount_read_300	0.780
micro_mount_write_500	1.818
micro_mount_rsync_in	5.124
micro_local_read_300	0.023
micro_local_write_500	0.023
micro_cpu_sha256_400mb	0.344
narrow_r1	15.061
narrow_r2	14.925
narrow_r3	13.952
narrow_median	14.925
full_r1	180.715
full_r2	185.132
full_r3	184.799
full_median	184.799
direct_full_r1	407.015
direct_full_median	407.015
git_dirty_after	1
git_dirty_restored	skipped_tree_was_dirty_at_start
